|L| - |T| - B,Γ^d(%),Algorithm 1 - # iter.,Algorithm 1 - Time (s),Algorithm 2 - # iter.,Algorithm 2 - Time (s),Ratio - # iter.,Ratio - Time (s)
10-4-10,10,27.2,1,9.0,1,3.02,0.90
,20,26.2,1,12.0,1,2.18,0.59
,30,21.8,0,10.8,1,2.02,0.47
,40,17.8,0,8.8,1,2.02,0.50
,50,15.4,0,7.4,0,2.08,0.44
,60,12.4,0,6.0,0,2.07,0.39
,70,13.2,0,7.8,1,1.69,0.35
,80,8.6,0,7.2,0,1.19,0.17
,90,10.4,0,7.8,0,1.33,0.22

10-4-20,10,44.0,2,12.2,2,3.61,1.17
,20,30.0,1,17.8,4,1.69,0.31
,30,36.4,2,12.0,2,3.03,0.98
,40,18.0,0,10.4,1,1.73,0.35
,50,23.4,1,9.4,1,2.49,0.58
,60,16.0,0,11.6,2,1.38,0.20
,70,12.0,0,9.0,1,1.33,0.24
,80,10.8,0,12.2,2,0.89,0.10
,90,14.6,0,7.8,1,1.87,0.39

20-8-10,10,117.6,15,38.2,20,3.08,0.75
,20,125.6,18,31.8,15,3.95,1.20
,30,82.8,9,31.6,16,2.62,0.58
,40,69.8,6,28.8,13,2.42,0.50
,50,57.2,5,19.6,7,2.92,0.71
,60,34.0,2,23.8,9,1.43,0.22
,70,42.0,3,23.2,8,1.81,0.36
,80,22.4,1,23.6,10,0.95,0.11
,90,29.8,2,20.8,8,1.43,0.20

